food,Caloric Value,Fat,Carbohydrates,Protein,Sugars,Dietary Fiber,Sodium,Cholesterol,Nutrition Density
ground emu cooked,178,5.1,0.0,31.0,0.0,0.0,0.025,94.8,37.595
ostrich leg raw,94,1.5,0.0,19.0,0.0,0.0,0.067,56.1,26.8
ostrich strip raw,108,2.4,0.0,20.1,0.0,0.0,0.086,62.1,30.4
emu fillet cooked,607,9.1,0.0,123.2,0.0,0.0,0.2,323.1,173.9
ostrich tenderloin raw,105,2.7,0.0,18.8,0.0,0.0,0.005,68.0,30.7
emu drums cooked,649,8.4,0.0,134.7,0.0,0.0,0.5,378.6,198.375
green turtle raw,25,0.1,0.0,5.6,0.0,0.0,0.099,14.2,39.567
ground bison cooked,448,21.6,0.0,63.6,0.0,0.0,0.2,177.5,128.2
goat meat raw,494,10.5,0.0,93.4,0.0,0.0,0.4,258.6,175.7
ground emu raw,157,4.7,0.0,26.6,0.0,0.0,0.062,80.7,44.2
ground ostrich raw,180,9.5,0.0,22.0,0.0,0.0,0.021,77.4,42.3
ostrich tip cooked,123,2.2,0.0,24.2,0.0,0.0,0.086,72.3,33.9
caribou cooked,210,6.4,0.0,38.0,0.0,0.0,0.004,141.2,57.4
ground ostrich cooked,163,6.6,0.0,24.3,0.0,0.0,0.099,77.2,31.712
ostrich leg cooked,120,1.6,0.0,24.7,0.0,0.0,0.016,62.1,34.1
ostrich top loin cooked,132,3.3,0.0,23.9,0.0,0.0,0.029,79.1,27.982
ostrich strip cooked,139,3.6,0.0,25.0,0.0,0.0,0.034,82.5,37.0
ostrich tip raw,97,2.0,0.0,18.6,0.0,0.0,0.041,61.2,27.3
ostrich round raw,99,2.0,0.0,18.7,0.0,0.0,0.074,60.4,28.0
ground bison raw,124,6.1,0.099,17.2,0.0,0.0,0.042,46.8,35.102
ostrich fan raw,99,2.3,0.0,18.5,0.0,0.0,0.04,62.1,29.6
ostrich top loin raw,101,2.5,0.0,18.4,0.0,0.0,0.073,63.8,28.7
veal brain cooked,461,32.6,0.0,38.9,0.0,0.0,0.5,10509.0,175.5
veal tongue cooked,515,25.8,0.0,65.9,0.0,0.0,0.2,606.9,135.3
beef heart cooked,47,1.3,0.057,8.1,0.0,0.0,0.024,60.0,9.714
turkey liver cooked,100,4.3,0.0,14.3,0.0,0.0,0.083,343.4,47.3
veal thymus cooked,35,0.9,0.0,6.4,0.0,0.0,0.036,99.1,20.0
beef brain cooked,688,55.6,0.0,44.1,0.0,0.0,0.6,7002.5,150.7
beef pancreas cooked,602,38.2,0.0,60.2,0.0,0.0,0.1,581.6,184.8
beef tripe cooked,80,3.4,1.7,10.0,0.0,0.0,0.045,133.5,84.6
chicken gizzard cooked,223,3.9,0.0,44.1,0.0,0.0,0.069,536.5,77.3
pork pancreas cooked,537,26.5,0.0,69.8,0.0,0.0,0.1,771.8,156.1
beef tongue cooked,80,6.3,0.0,5.5,0.0,0.0,0.029,37.4,14.3
lamb heart cooked,353,15.1,3.7,47.7,0.0,0.0,0.1,475.6,117.1
beef spleen cooked,447,12.9,0.0,77.3,0.0,0.0,0.2,1068.8,403.3
veal kidneys cooked,300,10.4,0.0,48.4,0.0,0.0,0.2,1455.4,132.9
chicken heart cooked,268,11.5,0.1,38.3,0.0,0.0,0.081,350.9,93.286
lamb tongue cooked,701,51.7,0.0,55.0,0.0,0.0,0.2,482.0,156.8
veal heart cooked,368,13.4,0.3,57.7,0.0,0.0,0.1,348.5,115.6
chicken liver cooked,76,2.8,0.5,11.3,0.0,0.0,0.079,248.2,15.238
lamb pancreas cooked,541,34.9,0.0,52.7,0.0,0.0,0.1,924.0,166.4
veal spleen cooked,445,10.0,0.0,83.1,0.0,0.0,0.2,1542.2,280.7
lamb liver cooked,739,29.6,8.5,102.7,0.0,0.0,0.2,1683.4,234.1
turkey gizzard cooked,70,2.1,0.0,11.9,0.0,0.0,0.031,203.4,26.231
lamp spleen cooked,460,14.1,0.0,78.1,0.0,0.0,0.2,1135.8,321.4
turkey heart cooked,35,1.5,0.0,5.0,0.0,0.0,0.046,71.8,12.759
beef liver cooked,130,3.6,3.5,19.8,0.0,0.0,0.068,269.3,37.539
lamb lungs cooked,431,11.8,0.0,75.7,0.0,0.0,0.3,1082.0,257.4
pork brain cooked,527,36.3,0.0,46.4,0.0,0.0,0.3,9748.6,177.6
goose liver,125,4.0,5.9,15.4,0.0,0.0,0.1,484.1,107.4
pork kidneys cooked,211,6.6,0.0,35.6,0.0,0.0,0.1,672.0,82.7
lamb brain cooked,503,35.3,0.0,43.5,0.0,0.0,0.5,7089.2,167.8
pork heart cooked,215,7.3,0.6,34.2,0.0,0.0,0.053,320.5,63.745
lamb kidneys cooked,349,9.2,2.5,60.3,0.0,0.0,0.4,1440.8,180.4
beef lungs cooked,364,11.2,0.0,61.8,0.0,0.0,0.3,839.3,221.858
veal pancreas cooked,614,35.0,0.0,69.8,0.0,0.0,0.2,0.0,168.1
pork liver cooked,584,15.6,13.3,92.1,0.0,0.0,0.2,1256.7,322.4
beef kidneys cooked,45,1.3,0.0,7.7,0.0,0.0,0.029,202.6,16.0
turkey giblets cooked,164,6.3,0.0,25.1,0.0,0.0,0.1,495.0,32.643
duck liver raw,60,2.0,1.6,8.2,0.0,0.0,0.089,226.6,37.3
veal liver cooked,154,5.0,3.0,22.7,0.0,0.0,0.046,408.8,43.638
pork lungs cooked,297,9.3,0.0,49.8,0.0,0.0,0.2,1161.0,156.0
veal lungs cooked,312,7.9,0.0,56.2,0.0,0.0,0.2,789.0,197.9
beef thymus cooked,1215,95.2,0.0,83.2,0.0,0.0,0.4,1120.1,337.3
ham,46,2.5,1.0,4.6,0.3,0.4,0.2,16.0,16.6
pork meat cooked,283,14.1,0.0,14.1,0.0,0.0,0.7,112.6,39.657
bacon roasted,43,3.3,0.1,3.0,0.0,0.0,0.034,8.8,6.516
pork top loin roasts raw,3644,182.8,0.0,468.4,0.0,0.0,1.0,1404.8,816.574
pork blade roll raw,76,6.2,0.0,4.7,0.0,0.0,0.4,15.0,13.143
pork backribs raw,2399,174.9,0.0,204.2,0.0,0.0,0.9,739.0,719.224
pork spareribs cooked,703,53.6,0.0,51.4,0.0,0.0,0.2,214.2,191.598
pork stomach cooked,44,2.1,0.029,6.1,0.0,0.0,0.035,89.4,12.779
honey smoked ham cooked,67,1.3,4.0,9.9,0.0,0.0,0.5,12.1,19.0
boston butt steak raw,844,56.1,0.0,79.0,0.0,0.0,0.3,281.2,212.848
pork sirloin chops cooked,140,4.5,0.0,23.3,0.0,0.0,0.001,65.6,28.239
pork country style ribs raw,242,15.1,0.0,24.8,0.0,0.0,0.061,94.7,69.223
ham patties,205,18.3,1.1,8.3,0.0,0.0,0.7,45.5,33.6
pork feet cooked,67,4.5,0.0,6.2,0.0,0.0,0.046,30.3,11.0
ground pork cooked,930,65.0,0.0,80.4,0.0,0.0,0.2,294.2,220.513
pork centre loin chops cooked,328,17.4,0.0,40.2,0.0,0.0,0.065,131.9,59.0
pork leg cap steak cooked,307,8.6,0.0,53.5,0.0,0.0,0.1,157.1,77.6
pork blade chops raw,376,15.4,0.0,55.8,0.0,0.0,0.2,155.2,152.089
pork tenderloin raw,606,17.8,0.0,104.3,0.0,0.0,0.3,328.3,157.3
pork sirloin chops raw,1090,23.3,0.0,205.5,0.0,0.0,0.6,567.6,314.931
pork leg cap steak raw,284,7.8,0.0,50.0,0.0,0.0,0.2,145.5,75.9
pork carcass raw,1706,159.1,0.0,63.1,0.0,0.0,0.2,335.7,313.327
pork splean cooked,446,9.6,0.0,84.3,0.0,0.0,0.3,1507.0,234.0
chopped ham,50,2.9,1.2,4.6,0.0,0.0,0.3,16.5,10.9
pork centre loin chops raw,338,18.0,0.0,41.2,0.0,0.0,0.1,137.3,98.301
pork blade chops cooked,265,14.6,1.1,32.4,0.0,0.0,0.072,100.9,59.882
boston butt steak cooked,494,32.7,0.0,46.4,0.0,0.0,0.1,181.3,130.498
pork meat raw,179,18.6,0.0,2.6,0.0,0.0,0.021,20.4,25.261
pork top loin chops raw,287,12.8,0.0,39.9,0.0,0.0,0.099,124.0,66.684
pork blade steak braised,694,44.7,0.087,68.2,0.0,0.0,0.4,256.1,115.063
pork boston steaks cooked,438,28.1,0.0,43.2,0.0,0.0,0.1,160.6,135.049
bacon cooked,43,3.1,0.068,3.5,0.0,0.0,0.2,10.1,6.747
pickled pork hocks,48,3.0,0.0,5.4,0.0,0.0,0.3,25.2,14.146
pork boston roast cooked,705,49.4,0.0,60.5,0.0,0.0,0.2,225.3,188.948
canadian style bacon grilled,43,2.0,0.3,5.7,0.0,0.0,0.4,13.6,10.6
ham steak,70,2.4,0.0,11.1,0.0,0.0,0.7,25.7,34.8
pork backfat,3683,402.3,0.0,13.2,0.0,0.0,0.064,258.6,425.932
bacon baked,44,3.5,0.1,2.9,0.0,0.0,0.2,8.7,6.673
pork arm picnic raw,5298,343.4,0.0,513.6,0.0,0.0,2.3,1729.4,1202.1
salt pork raw,212,22.8,0.0,1.4,0.0,0.0,0.8,24.3,26.0
pork arm picnic cooked,5292,322.7,0.0,560.3,0.0,0.0,2.2,1936.7,1264.074
pork top loin chops cooked,270,11.2,0.0,39.4,0.0,0.0,0.064,97.2,51.481
ground pork raw,329,26.5,0.0,21.1,0.0,0.0,0.033,90.0,67.15
pork shoulder raw,1070,81.6,0.0,77.9,0.0,0.0,0.3,322.1,235.572
pork chitterlings cooked,66,5.8,0.0,3.5,0.0,0.0,0.078,78.4,9.329
pork breakfast strips cooked,52,4.1,0.1,3.3,0.0,0.0,0.2,11.9,9.3
pork blade roll roasted,1079,88.3,1.4,65.0,0.0,0.0,3.7,251.9,196.3
pork tail cooked,1089,98.5,0.0,46.8,0.0,0.0,0.093,354.8,186.0
pork centre rib roasts raw,275,9.7,0.0,44.0,0.0,0.0,0.1,113.1,103.4
pork centre rib roasts roasted,1942,114.9,0.0,211.3,0.0,0.0,0.7,610.7,331.5
minced ham,55,4.3,0.4,3.4,0.0,0.0,0.3,14.7,10.4
ham roasted,316,21.3,0.6,28.7,0.0,0.0,1.3,86.8,83.3
pork loin raw,232,14.7,0.0,23.1,0.0,0.0,0.003,73.7,60.563
pork backribs roasted,2564,188.9,0.0,202.0,0.0,0.0,0.8,737.5,397.1
pork belly raw,2350,240.5,0.0,42.4,0.0,0.0,0.1,326.6,309.486
ham raw,266,18.2,0.046,23.8,0.0,0.0,1.5,54.6,51.697
ham extra lean,45,2.3,0.6,5.1,0.0,0.0,0.4,14.8,10.3
pork feet pickled,635,45.5,0.029,52.8,0.0,0.0,4.3,376.5,245.019
pork shoulder cooked,394,28.9,0.0,31.4,0.0,0.0,0.001,121.5,95.226
pork top loin roasts roasted,1628,74.8,0.0,224.3,0.0,0.0,0.4,678.4,306.4
pork skin,154,8.9,0.0,17.3,0.0,0.0,0.5,26.9,35.03
pork country style ribs cooked,235,15.2,0.0,22.8,0.0,0.0,0.049,88.6,68.402
pork blade steak raw,664,43.7,0.6,67.6,0.0,0.0,0.6,243.7,174.7
pork tenderloin cooked,153,6.2,0.0,22.7,0.0,0.0,0.091,71.4,34.679
pork loin cooked,213,12.1,0.0,24.2,0.0,0.0,0.077,71.2,56.575
pork ears cooked,184,12.0,0.2,17.7,0.0,0.0,0.2,99.9,51.6
pork tongue cooked,626,43.0,0.0,55.7,0.0,0.0,0.3,337.3,158.0
pork spareribs raw,3593,303.5,0.0,200.6,0.0,0.0,1.1,1037.6,710.5
ham patties grilled,205,18.5,1.0,8.0,0.0,0.0,0.6,43.2,33.9
chicken skin roasted,508,45.6,0.0,22.8,0.0,0.0,0.028,93.0,85.844
turkey breast raw,3554,158.9,0.0,495.6,0.0,0.0,1.3,1471.6,976.092
ground turkey raw,169,8.7,0.0,22.4,0.0,0.0,0.047,78.7,54.095
chicken wing cooked,52,3.5,0.0,4.8,0.0,0.0,0.086,14.7,11.058
turkey roast roasted,209,7.8,4.1,28.8,0.0,0.0,0.9,71.6,49.7
pheasant meat raw,1448,74.3,0.0,181.6,0.0,0.0,0.3,568.0,403.9
chicken back raw,188,17.0,0.0,8.3,0.0,0.0,0.043,46.6,34.564
chicken back cooked,93,6.5,0.0,8.0,0.0,0.0,0.091,28.1,21.425
chicken leg fried,431,25.5,13.8,34.4,0.0,0.5,0.4,142.2,104.858
chicken feet cooked,975,66.2,0.9,88.0,0.0,0.0,0.3,381.0,558.5
turkey steak fried,179,10.8,10.9,9.1,0.0,0.0,0.5,41.0,41.229
turkey taco meat cooked,271,13.9,5.5,30.7,0.0,0.0,1.2,129.9,179.7
chicken leg raw,736,54.9,0.6,56.3,0.0,0.0,0.3,319.9,145.973
chicken meat raw,1978,138.6,0.0,171.1,0.0,0.0,0.6,690.0,434.3
chicken neck cooked,94,6.9,0.0,7.5,0.0,0.0,0.085,26.6,25.616
chicken drumstick fried,193,11.3,6.0,15.8,0.0,0.2,0.2,61.9,46.519
quail egg,14,1.0,0.08,1.2,0.048,0.0,0.042,76.0,8.343
duck meat cooked,472,39.7,0.0,26.6,0.0,0.0,0.041,117.6,85.544
chicken wing roasted,216,14.3,0.0,20.2,0.0,0.0,0.039,119.9,35.155
quail meat cooked,1028,63.9,0.0,113.7,0.0,0.0,0.2,389.6,276.4
goose meat cooked,427,30.7,0.0,35.2,0.0,0.0,0.089,127.4,88.168
chicken breast cooked,114,4.5,0.0,17.3,0.0,0.0,0.058,48.7,30.552
chicken neck raw,149,13.1,0.0,7.0,0.0,0.0,0.027,49.5,30.146
duck egg,130,9.6,1.0,9.0,0.7,0.0,0.1,618.8,67.2
pheasant breast raw,484,11.8,0.0,88.7,0.0,0.0,0.1,211.1,136.3
duck meat raw,5123,498.8,0.0,145.7,0.0,0.0,0.8,963.7,850.5
squab meat raw,585,47.4,0.0,36.8,0.0,0.0,0.1,189.1,125.5
chicken drumstick raw,211,12.4,0.1,23.4,0.0,0.0,0.1,122.4,50.075
turkey meat roasted,284,11.1,0.031,42.8,0.0,0.0,0.2,163.5,76.629
chicken breast raw,299,16.1,0.0,36.3,0.0,0.0,0.1,111.4,72.834
ground chicken cooked,474,27.4,0.0,58.4,0.0,0.0,0.2,268.6,87.678
turkey wing cooked,426,23.1,0.0,50.9,0.0,0.0,0.1,150.7,121.3
goose meat raw,6077,550.7,0.0,259.8,0.0,0.0,1.2,1310.4,1117.2
turkey breast roasted,3266,128.0,0.0,496.1,0.0,0.0,1.1,1278.7,1011.2
chicken fajita strips,13,0.5,0.2,1.7,0.0,0.0,0.044,8.3,3.66
crispy chicken strips tyson,145,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
eggnog,224,10.6,20.4,11.6,20.4,0.0,0.1,149.9,377.2
beer light,96,0.0,5.4,0.8,0.3,0.0,0.095,0.0,19.456
beer budweiser,12,0.0,0.9,0.1,0.0,0.0,0.095,0.0,2.2
weizenbier erdinger,220,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
beer light budweiser,9,0.0,0.4,0.066,0.0,0.0,0.016,0.0,1.32
beer,142,0.0,11.7,1.5,0.0,0.0,0.067,0.0,26.436
root beer,202,0.0,52.3,0.0,52.3,0.0,0.068,0.0,52.334
whiskey sour mix,26,0.072,6.3,0.051,6.3,0.0,0.073,0.0,7.914
whiskey sour,158,0.0,13.9,0.0,0.0,0.0,0.067,0.0,16.717
tequila sunrise,232,0.2,23.8,0.6,0.0,0.0,0.1,0.0,65.357
daiquiri,112,0.036,4.2,0.035,3.3,0.001,0.008,0.0,7.243
pina colada,245,2.7,32.0,0.6,31.5,0.4,0.089,0.0,35.877
whiskey,58,0.0,0.1,0.0,0.078,0.0,0.0,0.0,0.127
rum,49,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.049
vodka smirnoff,13,0.4,2.0,0.0,0.082,0.0,0.0,0.0,2.4
coffee liqueur,96,0.038,13.8,0.041,13.7,0.0,0.093,0.0,14.241
gin,53,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0
dessert wine sweet,165,0.0,14.1,0.2,8.0,0.0,0.047,0.0,22.7
chenin blanc white wine,118,0.0,4.9,0.1,0.0,0.0,0.0,0.0,5.0
gamay red wine,115,0.0,3.5,0.1,0.0,14.4,0.0,0.0,146.6
late harvest white wine,172,0.0,20.6,0.1,0.0,13.1,0.0,0.0,153.6
gewurztraminer white wine,119,0.0,3.8,0.1,0.0,0.0,0.0,0.0,3.9
burgundy red wine,172,0.0,7.4,0.1,0.0,0.0,0.0,0.0,7.5
zinfandel red wine,129,0.0,4.2,0.1,0.0,0.0,0.0,0.0,4.3
muller thurgau white wine,112,0.0,5.2,0.1,0.0,13.3,0.0,0.0,147.8
mouvedre red wine,129,0.0,3.9,0.1,0.0,16.5,0.0,0.0,146.6
table wine,123,0.0,4.0,0.1,1.2,0.0,0.087,0.0,16.4
wine light,73,0.0,1.7,0.1,1.7,0.0,0.046,0.0,15.7
white wine,121,0.0,3.8,0.1,1.4,0.0,0.098,0.0,17.5
petite sirah red wine,125,0.0,3.9,0.1,0.0,15.7,0.0,0.0,146.4
non alcoholic wine,2,0.0,0.3,0.1,0.3,0.0,0.095,0.0,3.2
pinot noir red wine,121,0.0,3.4,0.1,0.0,0.0,0.0,0.0,3.5
pinot gris grigio white wine,122,0.0,3.0,0.1,0.0,0.0,0.0,0.0,3.1
riesling white wine,118,0.0,5.5,0.1,0.0,0.0,0.0,0.0,5.6
barbera red wine,170,0.0,5.6,0.1,0.0,0.0,0.0,0.0,5.7
lemberger red wine,118,0.0,3.6,0.1,0.0,15.0,0.0,0.0,146.6
merlot red wine,122,0.0,3.7,0.1,0.9,0.0,0.011,0.0,16.3
sangiovese red wine,126,0.0,3.9,0.1,0.0,0.0,0.0,0.0,4.0
sauvignon blanc white wine,119,0.0,3.0,0.1,0.0,0.0,0.0,0.0,3.1
syrah red wine,122,0.0,3.8,0.1,0.0,0.0,0.0,0.0,3.9
carignane red wine,370,0.0,12.0,0.4,0.0,0.0,0.0,0.0,12.4
pinot blanc white wine,119,0.0,2.9,0.1,0.0,0.0,0.0,0.0,3.0
semillon white wine,121,0.0,4.6,0.1,0.0,14.9,0.0,0.0,147.7
dessert wine dry,760,0.0,58.4,1.0,5.5,76.5,0.0,0.0,498.8
red wine,125,0.0,3.8,0.1,0.9,0.0,0.027,0.0,16.4
cabernet sauvignon red wine,166,0.0,5.2,0.1,0.0,0.0,0.0,0.0,5.3
muscat white wine,123,0.0,7.8,0.1,0.0,0.0,0.0,0.0,7.9
cooking wine,2,0.0,0.3,0.028,0.09,0.0,0.002,0.0,0.879
chardonnay white wine,168,0.0,4.3,0.1,1.9,0.0,0.027,0.0,22.9
claret red wine,122,0.0,4.4,0.1,0.0,15.0,0.0,0.0,146.5
rice sake,197,0.0,7.4,0.7,0.0,0.0,0.046,0.0,15.6
fume blanc white wine,121,0.0,3.3,0.1,0.0,15.4,0.0,0.0,146.7
cabarnet franc red wine,122,0.0,3.6,0.1,0.0,0.0,0.0,0.0,3.7
chocolate frosting,81,3.6,13.0,0.2,11.8,0.2,0.025,0.0,18.9
white sugar,19,0.0,5.0,0.0,4.9,0.0,0.012,0.0,5.037
egg substitute,115,0.0,4.8,24.0,4.8,0.0,0.5,0.0,210.0
agave syrup,21,0.081,5.3,0.025,4.7,0.01,0.09,0.0,5.456
splenda sweetener,336,0.0,91.2,0.0,80.3,0.0,0.0,0.0,91.2
vanilla extract,12,0.069,0.5,0.0,0.5,0.0,0.061,0.0,1.213
egg yolk dried,27,2.3,0.054,1.3,0.002,0.0,0.071,92.3,16.368
granulated sugar,16,0.0,4.2,0.0,4.2,0.0,0.019,0.0,4.253
baking chocolate,145,15.2,8.7,3.7,0.3,4.8,0.049,0.0,66.7
bakers yeast,18,0.3,3.1,1.4,0.0,1.4,0.066,0.0,10.078
fondant,106,0.009,26.4,0.0,25.2,0.0,0.022,0.0,27.396
brown sugar,16,0.0,4.1,0.024,4.1,0.0,0.094,0.0,7.622
white frosting dry,768,0.0,196.4,4.8,0.0,0.0,0.5,0.0,209.7
maple sugar,42,0.061,10.9,0.036,10.2,0.0,0.031,0.0,21.961
fructose sweetener,15,0.0,4.2,0.0,3.9,0.0,0.013,0.0,4.274
saccharin sweetener,360,0.0,89.1,0.9,85.2,0.0,0.4,0.0,90.082
egg white raw,17,0.063,0.2,3.6,0.2,0.0,0.038,0.0,6.196
turbinado sugar,18,0.0,4.6,0.0,4.6,0.0,0.008,0.0,5.24
vanilla frosting,1931,75.0,313.7,0.0,291.5,0.0,0.9,0.0,403.3
aspartame sweetener,365,0.0,89.1,2.2,80.7,0.0,0.0,0.0,91.381
egg raw,80,5.3,0.4,7.0,0.2,0.0,0.08,208.3,45.156
pineapple topping,860,0.3,225.8,0.3,71.4,1.4,0.1,0.0,259.1
egg white dried,26,0.087,0.3,5.8,0.0,0.0,0.052,0.0,12.343
egg yolk raw,55,4.5,0.6,2.7,0.08,0.0,0.006,184.5,30.27
baking soda,0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0
egg dried,30,2.2,0.047,2.4,0.05,0.0,0.06,81.5,16.62
strawberry topping,53,0.096,13.9,0.014,5.7,0.1,0.099,0.0,18.34
bakers yeast dry,13,0.3,1.6,1.6,0.0,1.1,0.081,0.0,5.927
almond paste,1040,63.0,108.5,20.4,82.3,10.9,0.051,0.0,597.0
cream of tartar,8,0.0,1.8,0.0,0.0,0.01,0.009,0.0,2.138
popover dry mix,631,7.3,120.7,17.7,0.0,0.0,1.5,0.0,205.3
egg substitute powder,126,3.7,6.2,15.7,6.2,0.0,0.2,161.9,119.1
gelatin powder,17,0.086,0.0,4.3,0.0,0.0,0.029,0.0,7.255
tapioca pearls,544,0.093,134.8,0.3,5.1,1.4,0.077,0.0,169.318
baking powder,2,0.0,1.3,0.0,0.0,0.03,0.5,0.0,272.196
egg boiled,93,6.4,0.7,7.5,0.7,0.0,0.042,223.8,45.338
millet flour,444,5.1,86.9,12.8,2.0,4.2,0.056,0.0,130.4
triticale flour,439,2.4,95.1,17.1,0.0,19.0,0.096,0.0,182.5
corn flour white,414,4.2,87.3,9.6,1.8,7.3,0.036,0.0,267.4
rice flour brown,574,4.4,120.8,11.4,1.3,7.3,0.039,0.0,164.4
sorghum flour,437,4.0,93.7,9.5,2.3,8.0,0.023,0.0,133.3
cornmeal whole grain,442,4.4,93.8,9.9,0.8,8.9,0.022,0.0,128.5
cornmeal white,581,2.7,124.7,11.2,2.5,6.1,0.094,0.0,151.1
barley flour,511,2.4,110.3,15.5,1.2,14.9,0.062,0.0,194.5
safflower seed meal,97,0.7,13.8,10.1,0.0,0.0,0.006,0.0,47.8
sesame flour,658,46.4,33.3,38.5,0.0,0.0,0.041,0.0,336.0
whole grain wheat flour,408,3.0,86.4,15.9,0.5,12.8,0.027,0.0,163.2
corn flour yellow,422,4.5,89.9,8.1,0.7,8.5,0.04,0.0,122.0
corn flour whole grain,422,4.5,89.9,8.1,0.7,8.5,0.033,0.0,122.0
cottonseed flour low fat,94,0.4,10.2,14.1,0.0,0.0,0.022,0.0,163.1
sunflower seed flour,13,0.013,1.4,1.9,0.0,0.2,0.073,0.0,8.557
sesame meal,160,13.6,7.4,4.8,0.0,0.0,0.073,0.0,73.2
acorn flour,626,37.7,68.3,9.4,0.0,0.0,0.0,0.0,170.7
rice flour white,578,2.2,126.6,9.4,0.2,3.8,0.0,0.0,158.4
sesame flour low fat,94,0.5,10.0,14.2,0.0,0.0,0.072,0.0,70.9
potato flour,571,0.5,133.0,11.0,5.6,9.4,0.042,0.0,155.4
cornmeal yellow,581,2.7,124.7,11.2,2.5,6.1,0.011,0.0,151.1
rye flour,364,1.4,78.2,10.0,0.9,8.2,0.061,0.0,112.0
arrowroot flour,457,0.1,112.8,0.4,0.0,4.4,0.002,0.0,169.3
chickpea flour,356,6.2,53.2,20.6,10.0,9.9,0.05,0.0,135.8
wheat flour,455,1.2,95.4,12.9,0.3,3.4,0.061,0.0,137.5
cornstarch,488,0.03,116.8,0.3,0.0,1.2,0.093,0.0,121.535
carob flour,13,0.061,5.3,0.3,2.9,2.4,0.033,0.0,29.18
buckwheat flour,402,3.7,84.7,15.1,3.1,12.0,0.033,0.0,169.6
pecan pie,503,27.1,63.7,6.0,0.0,0.0,0.3,106.1,137.891
apple pie,331,15.6,46.4,3.0,0.0,0.0,0.3,0.0,77.358
vanilla wafer pie crust,935,63.7,88.4,6.5,12.9,0.2,0.9,68.6,236.2
chocolate pie crust,881,40.8,117.4,11.1,47.9,4.9,0.9,0.0,240.2
apple strudel,195,8.0,29.2,2.3,18.3,1.6,0.02,4.3,53.359
chocolate snack cake,200,8.0,30.2,1.8,18.9,1.6,0.2,0.0,102.459
fruit fried pie,404,20.6,54.5,3.8,27.4,3.3,0.4,0.0,113.776
pumpkin pie,316,14.4,40.9,7.0,0.0,0.0,0.3,65.1,212.686
corn cake,35,0.2,7.5,0.7,2.1,0.2,0.01,0.0,10.437
sponge snack cake,157,4.8,26.9,1.5,15.7,0.4,0.2,17.2,44.404
danish pastry with nuts,280,16.4,29.7,4.6,16.8,1.3,0.2,29.9,115.451
chocolate cream pie,301,19.2,33.3,2.6,0.0,2.0,0.1,5.0,93.8
angel food cake,72,0.2,16.2,1.7,0.0,0.4,0.2,0.0,57.8
lemon meringue pie,362,16.4,49.7,4.8,0.0,0.0,0.3,67.3,91.632
danish pastry with cinnamon,349,16.7,46.9,4.8,0.0,0.0,0.3,27.3,109.897
cinnamon coffeecake,238,13.3,26.6,3.9,0.0,1.1,0.2,18.2,77.089
cheesecake,257,18.0,20.4,4.4,17.4,0.3,0.4,44.0,84.8
fruitcake,139,3.9,26.5,1.2,11.8,1.6,0.013,2.2,48.507
egg custard,293,12.9,31.0,14.2,31.0,0.0,0.2,236.9,360.9
mince pie,477,17.8,79.2,4.3,46.7,4.3,0.4,0.0,154.1
yellow cake with chocolate frosting,546,25.6,79.7,4.6,56.5,2.2,0.4,23.0,161.1
danish pastry with fruit,335,15.9,45.1,4.8,0.0,0.0,0.3,18.8,90.454
white cake with coconut frosting,399,11.5,70.8,4.9,64.3,1.1,0.3,1.1,190.574
danish pastry with cheese,353,24.6,28.7,5.8,0.0,0.0,0.3,20.0,133.666
graham cracker pie crust,917,45.4,117.7,9.3,33.2,3.5,0.9,0.0,233.8
blueberry pie,360,17.5,49.2,4.0,0.0,0.0,0.3,0.0,83.8
yellow cake with vanilla frosting,239,9.3,37.6,2.2,0.0,0.2,0.2,35.2,89.788
pie crust,121,8.0,10.9,1.5,0.045,0.4,0.1,0.0,23.8
chocolate cake with chocolate frosting,537,27.7,72.9,4.8,55.1,3.0,0.5,30.4,154.164
cheese coffeecake,258,11.6,33.7,5.3,0.0,0.8,0.3,64.6,96.831
vanilla cream pie,350,18.1,41.1,6.0,16.0,0.8,0.3,78.1,181.4
pineapple cake,367,13.9,58.1,4.0,0.0,0.9,0.4,25.3,218.024
peach pie,262,11.7,38.5,2.2,19.0,0.9,0.3,0.0,64.447
fruit coffeecake,156,5.1,25.8,2.6,0.0,1.3,0.2,3.5,58.9
pound cake,116,6.0,14.6,1.7,0.0,0.2,0.1,66.3,33.47
pound cake bread,215,9.6,28.2,3.9,10.0,0.9,0.2,0.0,69.1
white cake,264,9.2,42.3,4.0,26.3,0.6,0.2,1.5,153.59
coffeecake with chocolate frosting,298,9.7,48.4,4.5,0.0,1.8,0.3,62.1,99.233
popcorn cake,38,0.3,8.0,1.0,0.001,0.3,0.05,0.0,10.7
banana cream pie,3190,161.3,390.2,52.2,143.0,8.3,2.8,604.9,1533.5
baked apple pie mcdonalds,91,4.4,12.3,0.9,4.9,0.6,0.076,0.0,33.3
sponge cake,187,2.7,36.4,4.6,0.0,0.0,0.1,107.1,71.264
yellow cake,245,9.9,36.0,3.6,0.0,0.5,0.2,36.7,150.51
